,gene_list,p_value_gts_sport,p_value_gts_1kg,p_value_1kg_sport,p_value_end_vs_speed,gts_mean,gts_std,kg_mean,kg_std,sport_mean,sport_std,end_mean,end_std,speed_mean,speed_std
0,brain,0.02646621272149773,0.004109070795360083,0.05130012298232628,0.8239532935464363,91609.46336842107,6222.769547250012,93595.19367346939,1516.9706160900164,93145.72060000003,1685.6722432111667,93106.98073469389,1806.0829770807918,93182.94125490196,1560.354714276163
1,sekletal_muscle,0.10275422282388655,0.020519967909481202,0.01796947253017186,0.7222106529935037,113957.20978947368,7285.10739559809,115796.09901020408,1566.372991383299,115243.56757000001,1672.2339083897443,115304.96989795919,1591.0218064640624,115184.57317647059,1744.6737774924309
2,heart,0.07767032545768332,0.06951364908490523,0.9412905142362287,0.3034461089418401,75395.74460526313,5597.037793521162,76490.31451020407,1118.757391428191,76476.97514,1395.6167927167817,76624.95902040816,1335.4390298200324,76334.79454901961,1436.8000047637206
3,Hp_0011804,0.06628395896036604,0.004203030082302504,6.651869912198529e-08,0.9926198426255228,297356.36315789475,18375.829972814958,302944.72759183665,2630.5367058608394,300868.78865,2545.166318038949,300871.22102040815,2536.8524011785926,300866.4516666667,2553.1265148570437
4,Hp_0011805,0.02275717557234941,0.00475736701221081,0.024698519794103153,0.8320613619920082,195609.1116842105,12426.77474037989,199400.14331632652,2324.559168834155,198633.04211000004,2417.875861136429,198686.0110816327,2277.8329131038145,198582.15035294124,2544.140454880328
5,endurance_markers_2021,0.14122652249491072,0.3563841899670026,0.12626788466295508,0.4193874052855501,14393.857105263156,1833.683991466974,14582.324132653062,498.9344070530921,14701.01917,579.3939595968887,14749.276551020408,586.0262612137154,14654.654235294118,569.107985324284
6,power_markers_2021,0.44428068895381423,0.3709169693322716,0.027503331517824886,0.5761191756535158,1985.8114473684216,172.6839395704274,1955.4102448979593,177.11841292860595,2011.9446800000003,179.21641036232592,2001.601081632653,177.2373898867586,2021.8826470588235,180.54010547937233
7,strength_markers_2021,0.3128777066560731,0.5097791687800398,0.020187971309218494,0.4180231594989101,8713.306842105261,461.0343908209089,8768.24693877551,419.85530261018994,8636.80034,364.4946932158054,8667.247734693878,361.34533063464374,8607.546960784313,365.11124464657433
8,soft_tissue_injury_2021,0.6624772225343811,0.6645825892157716,0.9887632435079496,0.006230229787194146,2209.1429473684207,201.1101016621894,2225.0855816326534,186.30807974936667,2224.71744,179.16405678217492,2274.396081632653,162.94164714761237,2176.9869803921565,181.0594337530094
9,Cerebral_Cortex,0.7632995506877145,0.23304958821217805,0.1957009137165588,0.18056694837242995,568.8387105263158,118.90776270815255,595.372275510204,113.5141010025807,575.13639,104.5881938022543,560.7333673469387,105.71642990831148,588.9745882352942,101.58697866421942
